subfolder,candidate_file,mcc_norm,energy
56,structure_21.bpseq,0.568954,-29.497400
56,structure_28.bpseq,0.369628,-30.618800
56,structure_34.bpseq,0.582776,-39.295600
56,structure_41.bpseq,0.460521,-31.179000
56,structure_60.bpseq,0.282067,-35.509600
56,structure_64.bpseq,0.442569,-36.714200
56,structure_67.bpseq,0.557903,-39.897800
56,structure_71.bpseq,0.266335,-30.807700
56,structure_75.bpseq,0.375546,-38.254100
57,structure_13.bpseq,0.366201,-23.607700
57,structure_15.bpseq,0.348567,-21.361440
57,structure_18.bpseq,0.309027,-24.407900
57,structure_29.bpseq,0.376690,-24.997000
57,structure_39.bpseq,0.381814,-26.216400
57,structure_5.bpseq,0.376690,-21.966050
57,structure_50.bpseq,0.360521,-21.118230
57,structure_58.bpseq,0.202320,-28.121900
57,structure_67.bpseq,0.239760,-29.949900
57,structure_72.bpseq,0.198555,-29.828200
58,structure_13.bpseq,0.610713,-15.697984
58,structure_29.bpseq,0.242417,-15.940300
58,structure_3.bpseq,0.433482,-11.994360
58,structure_40.bpseq,0.434357,-21.733920
58,structure_43.bpseq,0.331094,-22.298840
58,structure_46.bpseq,0.256967,-21.649890
58,structure_51.bpseq,0.260028,-26.363600
58,structure_6.bpseq,0.592600,-11.281770
58,structure_63.bpseq,0.572190,-23.300040
58,structure_66.bpseq,0.401108,-23.695180
59,structure_13.bpseq,0.424531,-19.380070
59,structure_22.bpseq,0.465139,-17.023520
59,structure_29.bpseq,0.669016,-13.880360
59,structure_34.bpseq,0.631535,-15.726670
59,structure_40.bpseq,0.646099,-17.012440
59,structure_49.bpseq,0.490361,-23.284900
59,structure_53.bpseq,0.349939,-22.741400
59,structure_65.bpseq,0.471854,-21.826040
59,structure_7.bpseq,0.611072,-11.741118
59,structure_9.bpseq,0.413335,-15.126610
60,structure_2.bpseq,0.433333,-14.551060
60,structure_20.bpseq,0.326151,-22.331730
60,structure_24.bpseq,0.568050,-22.503270
60,structure_38.bpseq,0.466308,-20.576890
60,structure_4.bpseq,0.474256,-13.119224
