subfolder,candidate_file,mcc_norm,energy
37,structure_11.bpseq,0.818729,-10.750550
37,structure_14.bpseq,0.587093,-14.469550
37,structure_16.bpseq,0.522193,-12.339440
37,structure_19.bpseq,0.408056,-11.379460
37,structure_2.bpseq,0.622472,-9.288560
37,structure_21.bpseq,0.462972,-15.824660
37,structure_23.bpseq,0.628571,-17.899730
37,structure_4.bpseq,0.781560,-10.802710
37,structure_6.bpseq,0.584632,-9.248100
37,structure_8.bpseq,0.655875,-7.983030
38,structure_1.bpseq,0.534503,-6.680430
38,structure_12.bpseq,0.592606,-14.312412
38,structure_14.bpseq,0.568732,-15.428410
38,structure_16.bpseq,0.382255,-11.151280
38,structure_18.bpseq,0.624155,-16.100180
38,structure_20.bpseq,0.435682,-17.795890
38,structure_3.bpseq,0.585176,-6.467420
38,structure_5.bpseq,0.749664,-11.910920
38,structure_7.bpseq,0.583992,-7.862970
38,structure_9.bpseq,0.358085,-16.505100
39,structure_1.bpseq,0.869473,-14.151110
39,structure_10.bpseq,0.634630,-16.249910
39,structure_11.bpseq,0.484466,-17.326310
39,structure_3.bpseq,0.564327,-12.521920
39,structure_4.bpseq,0.592061,-10.306270
39,structure_5.bpseq,0.576533,-14.501010
39,structure_6.bpseq,0.391345,-13.139370
39,structure_7.bpseq,0.512267,-11.698990
39,structure_8.bpseq,0.650338,-11.117540
39,structure_9.bpseq,0.659270,-14.494610
40,structure_1.bpseq,0.845078,-7.845386
40,structure_11.bpseq,0.420338,-12.864980
40,structure_14.bpseq,0.476486,-14.582070
40,structure_16.bpseq,0.519391,-15.241280
40,structure_17.bpseq,0.666159,-12.944660
40,structure_18.bpseq,0.430398,-17.658220
40,structure_20.bpseq,0.603876,-14.516050
40,structure_4.bpseq,0.524806,-8.944596
40,structure_6.bpseq,0.313940,-9.188640
40,structure_8.bpseq,0.510306,-11.817300
41,structure_1.bpseq,0.632831,-7.481419
41,structure_12.bpseq,0.323579,-9.143980
41,structure_14.bpseq,0.324653,-17.935680
41,structure_16.bpseq,0.398343,-12.204780
41,structure_19.bpseq,0.150175,-13.560510
41,structure_22.bpseq,0.659611,-13.493500
41,structure_24.bpseq,0.514119,-18.702580
41,structure_4.bpseq,0.392473,-9.073380
41,structure_7.bpseq,0.781171,-9.712660
41,structure_9.bpseq,0.807927,-10.562890
42,structure_1.bpseq,0.678368,-5.583870
42,structure_10.bpseq,0.679741,-11.201090
42,structure_12.bpseq,0.615530,-10.511170
42,structure_13.bpseq,0.683670,-12.671930
42,structure_2.bpseq,1.000000,-6.360840
42,structure_3.bpseq,0.468791,-8.085780
42,structure_4.bpseq,0.471579,-12.708930
42,structure_6.bpseq,0.286429,-14.782060
42,structure_7.bpseq,0.723697,-9.447300
42,structure_9.bpseq,0.551521,-18.399760
43,structure_1.bpseq,0.972456,-6.708350
43,structure_11.bpseq,0.581973,-11.731400
43,structure_13.bpseq,0.172180,-16.457360
43,structure_15.bpseq,0.330237,-13.135230
43,structure_17.bpseq,0.579262,-16.846070
43,structure_19.bpseq,0.519764,-15.429706
43,structure_21.bpseq,0.496834,-22.410050
43,structure_4.bpseq,0.158435,-10.262970
43,structure_6.bpseq,0.542477,-10.152810
43,structure_8.bpseq,0.192059,-11.427730
44,structure_1.bpseq,0.765402,-6.282330
44,structure_10.bpseq,0.532485,-10.688918
44,structure_12.bpseq,0.599623,-14.621480
44,structure_14.bpseq,0.530126,-13.323090
44,structure_16.bpseq,0.223974,-17.842460
44,structure_18.bpseq,0.219288,-16.537150
44,structure_3.bpseq,0.508740,-10.309588
44,structure_4.bpseq,0.508740,-10.284972
44,structure_5.bpseq,0.610866,-8.229230
44,structure_7.bpseq,0.554560,-6.952640
45,structure_1.bpseq,0.972789,-7.527020
45,structure_11.bpseq,0.429648,-11.265520
45,structure_13.bpseq,0.149370,-18.674260
45,structure_16.bpseq,0.226941,-9.619320
45,structure_18.bpseq,0.465124,-8.771110
45,structure_20.bpseq,0.584515,-14.867120
45,structure_22.bpseq,0.413253,-19.314160
45,structure_4.bpseq,0.618750,-7.751160
45,structure_6.bpseq,0.587093,-16.171960
45,structure_8.bpseq,0.243505,-10.139950
46,structure_1.bpseq,0.766767,-10.301970
46,structure_10.bpseq,0.822072,-9.376361
46,structure_12.bpseq,0.488800,-9.154538
46,structure_14.bpseq,0.453183,-15.736740
46,structure_16.bpseq,0.823644,-14.586020
46,structure_18.bpseq,0.394564,-14.377110
46,structure_20.bpseq,0.193378,-19.274390
46,structure_4.bpseq,0.419267,-6.779120
46,structure_6.bpseq,0.633489,-12.399460
46,structure_8.bpseq,0.204032,-15.570330
47,structure_1.bpseq,0.285714,-7.624540
47,structure_11.bpseq,0.493927,-11.599550
47,structure_12.bpseq,0.265263,-13.524570
47,structure_13.bpseq,0.504279,-14.094550
47,structure_16.bpseq,0.430162,-16.663170
47,structure_3.bpseq,0.396251,-11.226400
47,structure_4.bpseq,0.265479,-12.880910
47,structure_7.bpseq,0.288689,-17.578270
47,structure_8.bpseq,0.654672,-6.675910
47,structure_9.bpseq,0.542234,-15.042210
48,structure_1.bpseq,0.828226,-3.890800
48,structure_11.bpseq,0.592283,-12.320150
48,structure_13.bpseq,0.222312,-21.119570
48,structure_15.bpseq,0.600098,-10.339990
48,structure_17.bpseq,0.411271,-17.394500
48,structure_20.bpseq,0.435345,-21.245070
48,structure_3.bpseq,0.557878,-6.110740
48,structure_5.bpseq,0.539045,-7.228840
48,structure_7.bpseq,0.577840,-5.817550
48,structure_9.bpseq,0.329998,-14.591140
49,structure_1.bpseq,0.942755,-3.119610
49,structure_10.bpseq,0.602986,-11.513740
49,structure_11.bpseq,0.622166,-12.544400
49,structure_12.bpseq,0.555847,-9.674946
49,structure_13.bpseq,0.535215,-15.813040
49,structure_14.bpseq,0.708333,-14.069790
49,structure_3.bpseq,0.764111,-6.815200
49,structure_6.bpseq,0.645833,-7.633180
49,structure_7.bpseq,0.763889,-8.275349
49,structure_8.bpseq,0.663543,-6.405090
50,structure_10.bpseq,0.367102,-11.560970
50,structure_11.bpseq,0.385413,-12.909810
50,structure_12.bpseq,0.129651,-14.204860
50,structure_13.bpseq,0.343043,-14.686620
50,structure_2.bpseq,0.531497,-8.589990
50,structure_3.bpseq,0.969612,-9.043260
50,structure_4.bpseq,0.425464,-9.092530
50,structure_5.bpseq,0.425464,-9.922940
50,structure_6.bpseq,0.696691,-9.339690
50,structure_9.bpseq,0.526060,-10.774990
51,structure_1.bpseq,0.929638,-5.544220
51,structure_11.bpseq,0.718750,-12.944800
51,structure_13.bpseq,0.376096,-18.634320
51,structure_15.bpseq,0.382436,-12.652580
51,structure_17.bpseq,0.624274,-9.450410
51,structure_20.bpseq,0.382436,-14.774050
51,structure_22.bpseq,0.183509,-21.889100
51,structure_3.bpseq,0.572121,-5.379100
51,structure_7.bpseq,0.745677,-9.010140
51,structure_9.bpseq,0.775000,-10.040637
52,structure_11.bpseq,0.573199,-9.675270
52,structure_13.bpseq,0.331870,-17.018460
52,structure_16.bpseq,0.524150,-12.795860
52,structure_18.bpseq,0.528987,-14.535260
52,structure_2.bpseq,0.576513,-7.202800
52,structure_21.bpseq,0.403092,-13.114860
52,structure_23.bpseq,0.437655,-13.216860
52,structure_4.bpseq,0.336036,-9.725690
52,structure_6.bpseq,0.550225,-8.093120
52,structure_9.bpseq,0.576513,-9.285640
53,structure_1.bpseq,0.506648,-6.109604
53,structure_10.bpseq,0.462681,-15.209410
53,structure_12.bpseq,0.662623,-12.531370
53,structure_14.bpseq,0.673193,-12.882820
53,structure_16.bpseq,0.247298,-15.106630
53,structure_18.bpseq,0.478945,-15.521280
53,structure_20.bpseq,0.681597,-12.055670
53,structure_3.bpseq,0.254627,-7.996030
53,structure_5.bpseq,0.238698,-11.863780
53,structure_8.bpseq,0.474642,-10.868890
54,structure_1.bpseq,0.288620,-10.118380
54,structure_12.bpseq,0.346394,-12.781970
54,structure_14.bpseq,0.125508,-13.871840
54,structure_16.bpseq,0.169730,-13.693140
54,structure_18.bpseq,0.141130,-12.731630
54,structure_3.bpseq,0.357851,-11.734920
54,structure_4.bpseq,0.281718,-14.816240
54,structure_5.bpseq,0.939155,-13.194400
54,structure_7.bpseq,0.426841,-13.820540
54,structure_9.bpseq,0.588875,-10.512970
55,structure_10.bpseq,0.659394,-10.300510
55,structure_11.bpseq,0.184896,-7.074950
55,structure_13.bpseq,0.602986,-13.822240
55,structure_16.bpseq,0.355370,-20.185960
55,structure_19.bpseq,0.298101,-18.503260
55,structure_2.bpseq,0.648659,-5.257609
55,structure_5.bpseq,0.367709,-13.781930
55,structure_7.bpseq,0.518228,-8.948400
55,structure_8.bpseq,0.539893,-10.761270
55,structure_9.bpseq,0.359978,-18.331060
56,structure_1.bpseq,0.691924,-5.542110
56,structure_10.bpseq,0.390424,-12.284396
56,structure_12.bpseq,0.595238,-16.450500
56,structure_14.bpseq,0.679146,-16.733950
56,structure_17.bpseq,0.234784,-24.949400
56,structure_2.bpseq,0.638630,-7.314380
56,structure_3.bpseq,0.407841,-7.236300
56,structure_4.bpseq,0.217962,-8.907560
56,structure_5.bpseq,0.518898,-11.595134
56,structure_8.bpseq,0.692939,-11.580488
57,structure_1.bpseq,0.910663,-9.495650
57,structure_10.bpseq,0.783910,-16.044010
57,structure_12.bpseq,0.447140,-10.868820
57,structure_13.bpseq,0.383564,-14.821110
57,structure_3.bpseq,0.207230,-8.809560
57,structure_4.bpseq,0.450445,-11.064900
57,structure_5.bpseq,0.611582,-10.354140
57,structure_6.bpseq,0.634630,-11.008290
57,structure_7.bpseq,0.481024,-12.000050
57,structure_9.bpseq,0.404493,-12.049740
58,structure_1.bpseq,0.943086,-5.034590
58,structure_11.bpseq,0.735450,-8.571850
58,structure_13.bpseq,0.455290,-13.718030
58,structure_17.bpseq,0.700054,-12.906380
58,structure_21.bpseq,0.719353,-8.354640
58,structure_24.bpseq,0.757336,-13.370540
58,structure_26.bpseq,0.437192,-14.803188
58,structure_28.bpseq,0.691394,-14.255921
58,structure_3.bpseq,0.756662,-5.283720
58,structure_7.bpseq,0.668004,-10.205630
59,structure_1.bpseq,0.915209,-8.535100
59,structure_10.bpseq,0.520955,-17.439780
59,structure_13.bpseq,0.638738,-16.258520
59,structure_18.bpseq,0.477824,-16.283570
59,structure_20.bpseq,0.516118,-19.497114
59,structure_23.bpseq,0.692210,-19.831400
59,structure_25.bpseq,0.566459,-23.047370
59,structure_3.bpseq,0.844124,-16.120920
59,structure_5.bpseq,0.588192,-11.072260
59,structure_8.bpseq,0.759689,-9.149030
60,structure_1.bpseq,0.347183,-7.368740
60,structure_12.bpseq,0.192808,-13.412170
60,structure_13.bpseq,0.350884,-12.482580
60,structure_14.bpseq,0.530997,-10.506990
60,structure_15.bpseq,0.730024,-15.582580
60,structure_16.bpseq,0.180693,-12.107550
